Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
.,io.jhdf.dataset.chunked,ChunkedDatasetV4.ChunkLookupLazyInitializer,0,0,0,0,0,0,0,0,-1.0,0,1,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\dataset\chunked\ChunkedDatasetV4.java,69
.,io.jhdf.dataset.chunked,ChunkOffset,1,0,4,4,22,6,0,0,0.0,2,0,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\dataset\chunked\ChunkOffset.java,14
.,io.jhdf.dataset.chunked,DatasetInfo,3,0,4,4,23,4,0,0,0.0,8,0,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\dataset\chunked\DatasetInfo.java,14
.,io.jhdf.dataset.chunked,ChunkOffsetTest,0,0,2,0,15,2,0,0,-1.0,0,1,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\test\java\io\jhdf\dataset\chunked\ChunkOffsetTest.java,19
.,io.jhdf.dataset.chunked.indexing,BTreeIndex,1,0,2,2,13,2,0,1,0.0,0,3,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\dataset\chunked\indexing\BTreeIndex.java,22
.,io.jhdf.dataset.chunked.indexing,ChunkImpl,5,0,7,7,31,7,0,0,0.0,1,0,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\dataset\chunked\indexing\ChunkImpl.java,18
.,io.jhdf.dataset.chunked.indexing,ChunkIndex,0,0,1,0,3,1,5,0,-1.0,0,0,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\dataset\chunked\indexing\ChunkIndex.java,16
.,io.jhdf.dataset.chunked.indexing,EmptyChunkIndex,0,0,1,1,5,1,0,1,-1.0,0,0,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\dataset\chunked\indexing\EmptyChunkIndex.java,17
.,io.jhdf.dataset.chunked.indexing,ExtensibleArrayIndex,32,0,3,2,257,7,0,1,0.0,2,5,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\dataset\chunked\indexing\ExtensibleArrayIndex.java,31
.,io.jhdf.dataset.chunked.indexing,ExtensibleArrayIndex.ExtensibleArrayIndexBlock,0,0,0,0,123,0,0,0,-1.0,0,0,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\dataset\chunked\indexing\ExtensibleArrayIndex.java,129
.,io.jhdf.dataset.chunked.indexing,ExtensibleArrayIndex.ExtensibleArrayDataBlock,0,0,0,0,27,0,0,0,-1.0,0,0,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\dataset\chunked\indexing\ExtensibleArrayIndex.java,191
.,io.jhdf.dataset.chunked.indexing,ExtensibleArrayIndex.ExtensibleArraySecondaryBlock,0,0,0,0,34,0,0,0,-1.0,0,0,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\dataset\chunked\indexing\ExtensibleArrayIndex.java,237
.,io.jhdf.dataset.chunked.indexing,ExtensibleArrayIndex.ExtensibleArrayCounter,5,0,0,0,32,0,0,0,-1.0,0,0,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\dataset\chunked\indexing\ExtensibleArrayIndex.java,332
